name,created_at,forks,topics,categories
data-science-ipython-notebooks,2015-01-23T19:38:29Z,7709,"['aws', 'big-data', 'caffe', 'data-science', 'deep-learning', 'hadoop', 'kaggle', 'keras', 'machine-learning', 'mapreduce', 'matplotlib', 'numpy', 'pandas', 'python', 'scikit-learn', 'scipy', 'spark', 'tensorflow', 'theano']",['Machine Learning']
deep-learning-for-image-processing,2019-11-14T15:02:27Z,7693,"['bilibili', 'classification', 'deep-learning', 'object-detection', 'pytorch', 'segmentation', 'tensorflow2']",['Machine Learning']
google-research,2018-10-04T18:42:48Z,7668,"['ai', 'machine-learning', 'research']",['Machine Learning']
fastai,2017-09-09T17:43:36Z,7502,"['colab', 'deep-learning', 'fastai', 'gpu', 'machine-learning', 'notebooks', 'python', 'pytorch']",['Machine Learning']
examples,2018-07-16T22:11:56Z,7339,"['tensorflow', 'tensorflow-examples']",['Machine Learning']
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,7282,['deep-learning'],['Machine Learning']
C-Plus-Plus,2016-07-16T10:19:45Z,6954,"['algorithm', 'algorithm-competitions', 'algorithms', 'algorithms-implemented', 'artificial-intelligence-algorithms', 'computer-science', 'cpp', 'data-structures', 'educational', 'hacktoberfest', 'instructor-materials', 'interview-preparation', 'interview-questions', 'machine-learning', 'machine-learning-algorithms', 'mathematics', 'search', 'sort']",['Machine Learning']
vision,2016-11-09T23:11:43Z,6835,"['computer-vision', 'machine-learning']",['Machine Learning']
amazon-sagemaker-examples,2017-10-23T05:55:22Z,6583,"['aws', 'data-science', 'deep-learning', 'examples', 'inference', 'jupyter-notebook', 'machine-learning', 'mlops', 'reinforcement-learning', 'sagemaker', 'training']",['Machine Learning']
machine_learning_examples,2014-07-31T23:40:45Z,6258,"['data-science', 'deep-learning', 'machine-learning', 'natural-language-processing', 'python', 'reinforcement-learning']",['Machine Learning']
machine-learning-for-software-engineers,2016-10-09T21:20:25Z,6168,"['artificial-intelligence', 'deep-learning', 'machine-learning', 'machine-learning-algorithms', 'software-engineer']",['Machine Learning']
labelImg,2015-09-17T01:33:59Z,6140,"['annotations', 'deep-learning', 'detection', 'image-classification', 'imagenet', 'python2', 'python3', 'recognition', 'tools']",['Machine Learning']
pytorch-CycleGAN-and-pix2pix,2017-04-18T10:33:05Z,6132,"['computer-graphics', 'computer-vision', 'cyclegan', 'deep-learning', 'gan', 'gans', 'generative-adversarial-network', 'image-generation', 'image-manipulation', 'pix2pix', 'pytorch']",['Machine Learning']
awesome-deep-learning,2015-01-02T19:28:35Z,5955,"['awesome', 'awesome-list', 'deep-learning', 'deep-learning-tutorial', 'deep-networks', 'face-images', 'machine-learning', 'neural-network', 'recurrent-networks']",['Machine Learning']
ivy,2021-01-19T08:37:25Z,5887,"['abstraction', 'autograd', 'deep-learning', 'gpu', 'ivy', 'jax', 'machine-learning', 'mxnet', 'neural-network', 'numpy', 'python', 'pytorch', 'template', 'tensorflow']",['Machine Learning']
tutorials,2016-05-29T13:29:44Z,5715,"['machine-learning', 'multiprocessing', 'neural-network', 'numpy', 'python', 'sklearn', 'tensorflow', 'theano', 'threading']",['Machine Learning']
netdata,2013-06-17T18:39:10Z,5713,"['alerting', 'cncf', 'data-visualization', 'database', 'devops', 'docker', 'grafana', 'influxdb', 'kubernetes', 'linux', 'machine-learning', 'mongodb', 'monitoring', 'mysql', 'netdata', 'observability', 'postgresql', 'prometheus', 'raspberry-pi', 'statsd']",['Machine Learning']
Made-With-ML,2018-11-05T03:44:27Z,5708,"['data-engineering', 'data-quality', 'data-science', 'deep-learning', 'distributed-ml', 'distributed-training', 'llms', 'machine-learning', 'mlops', 'natural-language-processing', 'python', 'pytorch', 'ray']",['Machine Learning']
awesome-datascience,2014-07-05T07:07:43Z,5674,"['analytics', 'awesome-list', 'data-mining', 'data-science', 'data-scientists', 'data-visualization', 'deep-learning', 'hacktoberfest', 'machine-learning', 'science']",['Machine Learning']
GFPGAN,2021-03-19T06:18:20Z,5664,"['deep-learning', 'face-restoration', 'gan', 'gfpgan', 'image-restoration', 'pytorch', 'super-resolution']",['Machine Learning']
mlcourse.ai,2017-02-27T08:32:20Z,5636,"['algorithms', 'data-analysis', 'data-science', 'docker', 'ipynb', 'kaggle-inclass', 'machine-learning', 'math', 'matplotlib', 'numpy', 'pandas', 'plotly', 'python', 'scikit-learn', 'scipy', 'seaborn', 'vowpal-wabbit']",['Machine Learning']
deep-learning-coursera,2017-08-09T12:28:46Z,5497,"['coursera', 'deep-learning']",['Machine Learning']
awesome-scalability,2017-12-27T03:46:40Z,5496,"['architecture', 'awesome', 'awesome-list', 'backend', 'big-data', 'computer-science', 'design-patterns', 'devops', 'distributed-systems', 'interview', 'interview-practice', 'interview-questions', 'lists', 'machine-learning', 'programming', 'resources', 'scalability', 'system', 'system-design', 'web-development']",['Machine Learning']
100-Days-Of-ML-Code,2018-08-05T13:32:48Z,5422,"['100-days-of-ml-code', 'chinese-simplified', 'deep-learning', 'infographics', 'jupyter-notebook', 'keras', 'machine-learning', 'python', 'supervised-learning', 'tensorflow', 'tutorial', 'unsupervised-learning']","['Machine Learning', 'Beginner']"
Paddle,2016-08-15T06:59:08Z,5417,"['deep-learning', 'distributed-training', 'efficiency', 'machine-learning', 'neural-network', 'paddlepaddle', 'python', 'scalability']",['Machine Learning']
julia,2011-04-21T07:01:50Z,5405,"['hacktoberfest', 'hpc', 'julia', 'julia-language', 'julialang', 'machine-learning', 'numerical', 'programming-language', 'science', 'scientific']",['Machine Learning']
